sample_name,organism,title,seq_method,collection_date,biome,feature,geo_loc,lat_lon,material,elevation,depth,pool_dna_extracts,samp_size,samp_collection_device,samp_weight_dna_ext,sieving,storage_cond,annual_season_precpt,annual_season_temp,bulk_density,drainage_class,fao_class,horizon,local_class,porosity,profile_position,slope_aspect,slope_gradient,soil_type,texture_class,water_content_soil,pH,EC,tot_C,tot_OM,tot_N,NO3_N,NH4_N,P,K,S,Zn,Fe,Cu,Mn,Ca,Mg,Na,B,agrochem_addition,biological_amendment,cover_crop,crop_rotation,cur_land_use,cur_vegetation,cur_crop,cur_cultivar,organic,previous_land_use,soil_amendments,tillage,rRNA_copies,microbial_biomass_C,microbial_biomass_N,microbial_respiration,usr_cat1,usr_cat2,usr_cat3,usr_cat4,usr_cat5,usr_cat6,usr_quant1,usr_quant2,usr_quant3,usr_quant4,usr_quant5,usr_quant6
CBG1,soil metagenome,Control 1,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,CBG,blue gamma,null,null,null,null,1,null,null,null,null,null
CBG10,soil metagenome,Control 10,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,CBG,blue gamma,null,null,null,null,2,null,null,null,null,null
CBG13,soil metagenome,Control 13,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,CBG,blue gamma,null,null,null,null,3,null,null,null,null,null
CBG16,soil metagenome,Control 16,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,CBG,blue gamma,null,null,null,null,4,null,null,null,null,null
CBG19,soil metagenome,Control 19,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,CBG,blue gamma,null,null,null,null,5,null,null,null,null,null
CBG26,soil metagenome,Control 26,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,CBG,blue gamma,null,null,null,null,6,null,null,null,null,null
CBG27,soil metagenome,Control 27,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,CBG,blue gamma,null,null,null,null,7,null,null,null,null,null
CBG30,soil metagenome,Control 30,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,CBG,blue gamma,null,null,null,null,8,null,null,null,null,null
CBG4,soil metagenome,Control 4,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,CBG,blue gamma,null,null,null,null,9,null,null,null,null,null
CBG6,soil metagenome,Control 6,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,CBG,blue gamma,null,null,null,null,10,null,null,null,null,null
ESRBG11,soil metagenome,Event size reduction 11,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESR,blue gamma,null,null,null,null,11,null,null,null,null,null
ESRBG14,soil metagenome,Event size reduction 14,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESR,blue gamma,null,null,null,null,12,null,null,null,null,null
ESRBG18,soil metagenome,Event size reduction 18,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESR,blue gamma,null,null,null,null,13,null,null,null,null,null
ESRBG20,soil metagenome,Event size reduction 20,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESR,blue gamma,null,null,null,null,14,null,null,null,null,null
ESRBG24,soil metagenome,Event size reduction 24,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESR,blue gamma,null,null,null,null,15,null,null,null,null,null
ESRBG27,soil metagenome,Event size reduction 27,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESR,blue gamma,null,null,null,null,16,null,null,null,null,null
ESRBG3,soil metagenome,Event size reduction 3,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESR,blue gamma,null,null,null,null,17,null,null,null,null,null
ESRBG31,soil metagenome,Event size reduction 31,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESR,blue gamma,null,null,null,null,18,null,null,null,null,null
ESRBG5,soil metagenome,Event size reduction 5,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESR,blue gamma,null,null,null,null,19,null,null,null,null,null
ESRBG9,soil metagenome,Event size reduction 9,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESR,blue gamma,null,null,null,null,20,null,null,null,null,null
RENG12,soil metagenome,Delayed rainfall 12,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,REN,blue gamma,null,null,null,null,21,null,null,null,null,null
RENG13,soil metagenome,Delayed rainfall 13,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,REN,blue gamma,null,null,null,null,22,null,null,null,null,null
RENG2,soil metagenome,Delayed rainfall 2,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,REN,blue gamma,null,null,null,null,23,null,null,null,null,null
RENG21,soil metagenome,Delayed rainfall 21,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,REN,blue gamma,null,null,null,null,24,null,null,null,null,null
RENG25,soil metagenome,Delayed rainfall 25,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,REN,blue gamma,null,null,null,null,25,null,null,null,null,null
RENG26,soil metagenome,Delayed rainfall 26,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,REN,blue gamma,null,null,null,null,26,null,null,null,null,null
RENG29,soil metagenome,Delayed rainfall 29,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,REN,blue gamma,null,null,null,null,27,null,null,null,null,null
RENG32,soil metagenome,Delayed rainfall 32,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,REN,blue gamma,null,null,null,null,28,null,null,null,null,null
RENG7,soil metagenome,Delayed rainfall 7,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,REN,blue gamma,null,null,null,null,29,null,null,null,null,null
RENG8,soil metagenome,Delayed rainfall 8,V3 16S rRNA,9/1/2013,temperate grassland,desert scrubland,USA:NM,45.321 -125.012,soil:bulk,1500,0-30,yes:3,100,soil core,0.5,2,-20,15,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,REN,blue gamma,null,null,null,null,30,null,null,null,null,null
