sample_name,organism,title,seq_method,collection_date,biome,feature,geo_loc_country,geo_loc_state,geo_loc_city,geo_loc_farm,geo_loc_plot,latitude,longitude,material,elevation,depth,pool_dna_extracts,samp_size,samp_collection_device,samp_weight_dna_ext,sieving,storage_cond,annual_season_precpt,annual_season_temp,bulk_density,drainage_class,fao_class,horizon,local_class,porosity,profile_position,slope_aspect,slope_gradient,soil_type,texture_class,water_content_soil,pH,EC,tot_C,tot_OM,tot_N,NO3_N,NH4_N,P,K,S,Zn,Fe,Cu,Mn,Ca,Mg,Na,B,agrochem_addition,biological_amendment,cover_crop,crop_rotation,cur_land_use,cur_vegetation,cur_crop,cur_cultivar,organic,previous_land_use,soil_amendments,tillage,rRNA_copies,microbial_biomass_C,microbial_biomass_N,microbial_respiration,usr_cat1,usr_cat2,usr_cat3,usr_cat4,usr_cat5,usr_cat6,usr_quant1,usr_quant2,usr_quant3,usr_quant4,usr_quant5,usr_quant6
2011.CA.Bulk1,soil metagenome,WRT,V3 16S rRNA,2011-08-01,null,farm,USA,CA,Tulelake,CA,null,41,121,bulk soil,4091,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2011,null,null,null,null,null,null,null,null,null,null,null
2011.CA.Bulk2,soil metagenome,WRT,V3 16S rRNA,2011-08-01,null,farm,USA,CA,Tulelake,CA,null,41,121,bulk soil,4091,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2011,null,null,null,null,null,null,null,null,null,null,null
2011.CA.Bulk3,soil metagenome,WRT,V3 16S rRNA,2011-08-01,null,farm,USA,CA,Tulelake,CA,null,41,121,bulk soil,4091,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2011,null,null,null,null,null,null,null,null,null,null,null
2011.CA.Bulk4,soil metagenome,WRT,V3 16S rRNA,2011-08-01,null,farm,USA,CA,Tulelake,CA,null,41,121,bulk soil,4091,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2011,null,null,null,null,null,null,null,null,null,null,null
2011.CO.Bulk1,soil metagenome,WRT,V3 16S rRNA,2011-08-30,null,farm,USA,CO,Center,SLVRC,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2011,null,null,null,null,null,null,null,null,null,null,null
2011.CO.Bulk2,soil metagenome,WRT,V3 16S rRNA,2011-08-30,null,farm,USA,CO,Center,SLVRC,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2011,null,null,null,null,null,null,null,null,null,null,null
2011.CO.BulkRed,soil metagenome,WRT,V3 16S rRNA,2011-08-30,null,farm,USA,CO,Center,SLVRC,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2011,null,null,null,null,null,null,null,null,null,null,null
2011.CO.BulkRusset,soil metagenome,WRT,V3 16S rRNA,2011-08-30,null,farm,USA,CO,Center,SLVRC,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2011,null,null,null,null,null,null,null,null,null,null,null
2011.TX.Bulk1,soil metagenome,WRT,V3 16S rRNA,2011-07-22,null,farm,USA,TX,Springlake,TX,null,34,101,bulk soil,3373,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2011,null,null,null,null,null,null,null,null,null,null,null
2011.TX.Bulk2,soil metagenome,WRT,V3 16S rRNA,2011-07-22,null,farm,USA,TX,Springlake,TX,null,34,101,bulk soil,3373,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2011,null,null,null,null,null,null,null,null,null,null,null
2011.TX.BulkAll,soil metagenome,WRT,V3 16S rRNA,2011-07-22,null,farm,USA,TX,Springlake,TX,null,34,101,bulk soil,3373,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2011,null,null,null,null,null,null,null,null,null,null,null
2011.TX.BulkRusset,soil metagenome,WRT,V3 16S rRNA,2011-07-22,null,farm,USA,TX,Springlake,TX,null,34,101,bulk soil,3373,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2011,null,null,null,null,null,null,null,null,null,null,null
2012.CA.Bulk.1,soil metagenome,WRT,V3 16S rRNA,2012-09-11,null,farm,USA,CA,Tulelake,CA,null,41,121,bulk soil,4091,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2012,null,null,null,null,null,null,null,null,null,null,null
2012.CA.Bulk.2,soil metagenome,WRT,V3 16S rRNA,2012-09-11,null,farm,USA,CA,Tulelake,CA,null,41,121,bulk soil,4091,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2012,null,null,null,null,null,null,null,null,null,null,null
2012.CA.Bulk.3,soil metagenome,WRT,V3 16S rRNA,2012-09-11,null,farm,USA,CA,Tulelake,CA,null,41,121,bulk soil,4091,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2012,null,null,null,null,null,null,null,null,null,null,null
2012.CA.Bulk1,soil metagenome,WRT,V3 16S rRNA,2012-09-11,null,farm,USA,CA,Tulelake,CA,null,41,121,bulk soil,4091,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2012,null,null,null,null,null,null,null,null,null,null,null
2012.CO.Bulk.1,soil metagenome,WRT,V3 16S rRNA,2012-09-08,null,farm,USA,CO,Center,SLVRC,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2012,null,null,null,null,null,null,null,null,null,null,null
2012.CO.Bulk.2,soil metagenome,WRT,V3 16S rRNA,2012-09-08,null,farm,USA,CO,Center,SLVRC,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2012,null,null,null,null,null,null,null,null,null,null,null
2012.CO.Bulk.3,soil metagenome,WRT,V3 16S rRNA,2012-09-08,null,farm,USA,CO,Center,SLVRC,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2012,null,null,null,null,null,null,null,null,null,null,null
2012.TX.Bulk.1,soil metagenome,WRT,V3 16S rRNA,2012-08-10,null,farm,USA,TX,Springlake,TX,null,34,101,bulk soil,3373,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2012,null,null,null,null,null,null,null,null,null,null,null
2012.TX.Bulk.2,soil metagenome,WRT,V3 16S rRNA,2012-08-10,null,farm,USA,TX,Springlake,TX,null,34,101,bulk soil,3373,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2012,null,null,null,null,null,null,null,null,null,null,null
2012.TX.Bulk.3,soil metagenome,WRT,V3 16S rRNA,2012-08-10,null,farm,USA,TX,Springlake,TX,null,34,101,bulk soil,3373,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2012,null,null,null,null,null,null,null,null,null,null,null
2013.CO.PG.Bulk,soil metagenome,WRT,V3 16S rRNA,2013-08-23,null,farm,USA,CO,Delta,PG,null,38,108,bulk soil,5154,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.CO.RF.Bulk,soil metagenome,WRT,V3 16S rRNA,2013-08-23,null,farm,USA,CO,Center,RF,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.CO.SLVRC.Bulk,soil metagenome,WRT,V3 16S rRNA,2013-08-23,null,farm,USA,CO,Center,SLVRC,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.PG.Bulk1,soil metagenome,WRT,V3 16S rRNA,2013-08-23,null,farm,USA,CO,Delta,PG,null,38,108,bulk soil,5154,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.PG.Bulk2,soil metagenome,WRT,V3 16S rRNA,2013-08-23,null,farm,USA,CO,Delta,PG,null,38,108,bulk soil,5154,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.PG.Bulk3,soil metagenome,WRT,V3 16S rRNA,2013-08-23,null,farm,USA,CO,Delta,PG,null,38,108,bulk soil,5154,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.RF.Bulk1,soil metagenome,WRT,V3 16S rRNA,2013-08-23,null,farm,USA,CO,Center,RF,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.RF.Bulk2,soil metagenome,WRT,V3 16S rRNA,2013-08-23,null,farm,USA,CO,Center,RF,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.RF.Bulk3,soil metagenome,WRT,V3 16S rRNA,2013-08-23,null,farm,USA,CO,Center,RF,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.SLVRC.Bulk1,soil metagenome,WRT,V3 16S rRNA,2013-08-23,null,farm,USA,CO,Center,SLVRC,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.SLVRC.Bulk2,soil metagenome,WRT,V3 16S rRNA,2013-08-23,null,farm,USA,CO,Center,SLVRC,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.SLVRC.Bulk3,soil metagenome,WRT,V3 16S rRNA,2013-08-23,null,farm,USA,CO,Center,SLVRC,null,38,106,bulk soil,7825,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.TX.Bulk,soil metagenome,WRT,V3 16S rRNA,2013-08-19,null,farm,USA,TX,Springlake,TX,null,34,101,bulk soil,3373,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.TX.Bulk1,soil metagenome,WRT,V3 16S rRNA,2013-08-19,null,farm,USA,TX,Springlake,TX,null,34,101,bulk soil,3373,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.TX.Bulk2,soil metagenome,WRT,V3 16S rRNA,2013-08-19,null,farm,USA,TX,Springlake,TX,null,34,101,bulk soil,3373,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
2013.TX.Bulk3,soil metagenome,WRT,V3 16S rRNA,2013-08-19,null,farm,USA,TX,Springlake,TX,null,34,101,bulk soil,3373,0-15,null,null,null,0.5,2,-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,farm,potato,potato,null,null,null,null,null,null,null,null,null,2013,null,null,null,null,null,null,null,null,null,null,null
